,Coefficients
month,-0.0
budget,-43505959.092255406
runtime,-28362.029558000057
director_median_vote,5247139.59562227
director_median_revenue,25288005.868004512
Top3cast_median_revenue,59413975.08989291
trend_average,1232142.8444474193
Director_Number,-665587.835620455
country_count,-2986542.7041494367
genre_count,-1384896.436825339
company_count,-3467124.385122055
cast_count,8032503.173416856
awardedcast,-909880.3674925262
book,3269940.1394240735
isenglish,-515754.4508366956
country_Argentina,103338.6411745015
country_Australia,-486067.92378218577
country_Austria,1005868.0283323599
country_Bahamas,140075.12815100144
country_Belarus,482092.51150057605
country_Belgium,52519.19230708971
country_Brazil,0.0
country_Bulgaria,322729.4538890885
country_Canada,-1072086.3775941988
country_Chile,-985647.0970434974
country_China,73833.36765097099
country_Costa Rica,-0.0
country_Croatia,891704.690482709
country_Czech Republic,-393938.8926634152
country_Denmark,466760.31030085543
country_Ecuador,288496.30778635794
country_Egypt,77126.52683535521
country_Estonia,-59469.363055459115
country_Finland,278002.8138623001
country_France,0.0
country_Germany,-1004242.5832396003
country_Gibraltar,539480.235680143
country_Greece,0.0
country_Guatemala,0.0
country_Hong Kong,-103205.24781193312
country_Hungary,-142758.49544043667
country_Iceland,0.0
country_India,-397040.1637447046
country_Iran,-273365.91464601835
country_Ireland,133837.8561678724
country_Israel,-1198705.0445357729
country_Italy,-929252.772925023
country_Jamaica,0.0
country_Japan,-487518.2102514091
country_Kazakhstan,377052.54843022936
country_Latvia,0.0
country_Liechtenstein,-280942.28769915237
country_Lithuania,-153847.1339154828
country_Luxembourg,-0.0
country_Macedonia,0.0
country_Malaysia,-117611.12789786924
country_Mali,-481047.8647273679
country_Malta,0.0
country_Mexico,696682.6910924275
country_Monaco,159628.6095651955
country_Morocco,-195344.69770665254
country_Namibia,-206926.95373762192
country_Netherlands,-1232887.4939441471
country_New Zealand,0.0
country_Norway,11677.066835207283
country_Pakistan,-308567.41619648784
country_Peru,-212148.11367494677
country_Philippines,0.0
country_Poland,147633.99343420862
country_Portugal,-0.0
country_Puerto Rico,80592.40649147384
country_Qatar,545727.5988043316
country_Romania,-0.0
country_Russia,-328183.8050463366
country_Serbia,-573961.930522132
country_Singapore,-1025694.4848282085
country_Slovenia,-203672.66984385613
country_South Africa,-1922063.2373544602
country_South Korea,-63200.352380236094
country_Spain,-602781.8993679159
country_Sweden,-744789.1851565838
country_Switzerland,-1126.473004712832
country_Taiwan,0.0
country_Thailand,-622561.7110544981
country_Tunisia,0.0
country_Turkey,-800435.1256461425
country_Ukraine,504879.0369031833
country_United Arab Emirates,123503.36013698067
country_United Kingdom,424898.6661836844
country_United States of America,-1187492.4621977976
country_Uruguay,-0.0
genre_Action,-1158257.5855289605
genre_Animation,-1070301.0880837315
genre_Comedy,-2457331.30971558
genre_Crime,-132028.87918174
genre_Documentary,-0.0
genre_Drama,-1498138.6748121069
genre_Family,-0.0
genre_Fantasy,-35500.29910611032
genre_Foreign,46166.2011552145
genre_History,274873.3940598351
genre_Horror,-1212605.9485998077
genre_Music,0.0
genre_Mystery,1029392.9792075654
