Actor,Wiki Page,First winning film role or First nomination,Wining role URL,First Year,Last Year
Barkhad Abdi,https://en.wikipedia.org/wiki/Barkhad_Abdi,Captain Phillips,https://en.wikipedia.org/wiki/Captain_Phillips_(film),2013,2013
F. Murray Abraham,https://en.wikipedia.org/wiki/F._Murray_Abraham,Amadeus,https://en.wikipedia.org/wiki/Amadeus_(film),1984,1984
Amy Adams,https://en.wikipedia.org/wiki/Amy_Adams,American Hustle,https://en.wikipedia.org/wiki/American_Hustle,2005,2018
Nick Adams,"https://en.wikipedia.org/wiki/Nick_Adams_(actor,_born_1931)",Twilight of Honor,https://en.wikipedia.org/wiki/Twilight_of_Honor,1963,1963
Isabelle Adjani,https://en.wikipedia.org/wiki/Isabelle_Adjani,"Story of Adele H., The",https://en.wikipedia.org/wiki/The_Story_of_Adele_H.,1975,1989
Casey Affleck,https://en.wikipedia.org/wiki/Casey_Affleck,Manchester by the Sea,https://en.wikipedia.org/wiki/Manchester_by_the_Sea_(film),2007,2016
Shohreh Aghdashloo,https://en.wikipedia.org/wiki/Shohreh_Aghdashloo,House of Sand and Fog,https://en.wikipedia.org/wiki/House_of_Sand_and_Fog_(film),2003,2003
Brian Aherne,https://en.wikipedia.org/wiki/Brian_Aherne,Juarez,https://en.wikipedia.org/wiki/Juarez_(film),1939,1939
Danny Aiello,https://en.wikipedia.org/wiki/Danny_Aiello,Do the Right Thing,https://en.wikipedia.org/wiki/Do_the_Right_Thing,1989,1989
Anouk Aimée,https://en.wikipedia.org/wiki/Anouk_Aim%C3%A9e,"Man and a Woman, A",https://en.wikipedia.org/wiki/A_Man_and_a_Woman,1966,1966
Eddie Albert,https://en.wikipedia.org/wiki/Eddie_Albert,Roman Holiday,https://en.wikipedia.org/wiki/Roman_Holiday,1953,1972
Jack Albertson,https://en.wikipedia.org/wiki/Jack_Albertson,"Subject Was Roses, The",https://en.wikipedia.org/wiki/The_Subject_Was_Roses_(film),1968,1968
Alan Alda,https://en.wikipedia.org/wiki/Alan_Alda,"Aviator, The",https://en.wikipedia.org/wiki/The_Aviator_(2004_film),2004,2004
Norma Aleandro,https://en.wikipedia.org/wiki/Norma_Aleandro,Gaby: A True Story,https://en.wikipedia.org/wiki/Gaby:_A_True_Story,1987,1987
Jane Alexander,https://en.wikipedia.org/wiki/Jane_Alexander,"Great White Hope, The",https://en.wikipedia.org/wiki/The_Great_White_Hope_(film),1970,1983
Mahershala Ali,https://en.wikipedia.org/wiki/Mahershala_Ali,Moonlight,https://en.wikipedia.org/wiki/Moonlight_(2016_film),2016,2018
Joan Allen,https://en.wikipedia.org/wiki/Joan_Allen,"Contender, The",https://en.wikipedia.org/wiki/The_Contender_(2000_film),1995,2000
Woody Allen,https://en.wikipedia.org/wiki/Woody_Allen,Annie Hall,https://en.wikipedia.org/wiki/Annie_Hall,1977,1977
Sara Allgood,https://en.wikipedia.org/wiki/Sara_Allgood,How Green Was My Valley,https://en.wikipedia.org/wiki/How_Green_Was_My_Valley_(film),1941,1941
Don Ameche,https://en.wikipedia.org/wiki/Don_Ameche,Cocoon,https://en.wikipedia.org/wiki/Cocoon_(film),1985,1985
Judith Anderson,https://en.wikipedia.org/wiki/Judith_Anderson,Rebecca,https://en.wikipedia.org/wiki/Rebecca_(1940_film),1940,1940
Julie Andrews,https://en.wikipedia.org/wiki/Julie_Andrews,Mary Poppins,https://en.wikipedia.org/wiki/Mary_Poppins_(film),1964,1982
Ann-Margret,https://en.wikipedia.org/wiki/Ann-Margret,Tommy,https://en.wikipedia.org/wiki/Tommy_(1975_film),1971,1975
Yalitza Aparicio,https://en.wikipedia.org/wiki/Yalitza_Aparicio,Roma,https://en.wikipedia.org/wiki/Roma_(2018_film),2018,2018
Anne Archer,https://en.wikipedia.org/wiki/Anne_Archer,Fatal Attraction,https://en.wikipedia.org/wiki/Fatal_Attraction,1987,1987
Eve Arden,https://en.wikipedia.org/wiki/Eve_Arden,Mildred Pierce,https://en.wikipedia.org/wiki/Mildred_Pierce_(film),1945,1945
Alan Arkin,https://en.wikipedia.org/wiki/Alan_Arkin,Little Miss Sunshine,https://en.wikipedia.org/wiki/Little_Miss_Sunshine,1966,2012
George Arliss,https://en.wikipedia.org/wiki/George_Arliss,Disraeli,https://en.wikipedia.org/wiki/Disraeli_(1929_film),1929,1929
Patricia Arquette,https://en.wikipedia.org/wiki/Patricia_Arquette,Boyhood,https://en.wikipedia.org/wiki/Boyhood_(film),2014,2014
Jean Arthur,https://en.wikipedia.org/wiki/Jean_Arthur,"More the Merrier, The",https://en.wikipedia.org/wiki/The_More_the_Merrier,1943,1943
Peggy Ashcroft,https://en.wikipedia.org/wiki/Peggy_Ashcroft,"Passage to India, A",https://en.wikipedia.org/wiki/A_Passage_to_India_(film),1984,1984
Fred Astaire,https://en.wikipedia.org/wiki/Fred_Astaire,"Towering Inferno, The",https://en.wikipedia.org/wiki/The_Towering_Inferno,1974,1974
Mary Astor,https://en.wikipedia.org/wiki/Mary_Astor,"Great Lie, The",https://en.wikipedia.org/wiki/The_Great_Lie,1941,1941
Mischa Auer,https://en.wikipedia.org/wiki/Mischa_Auer,My Man Godfrey,https://en.wikipedia.org/wiki/My_Man_Godfrey,1936,1936
Margaret Avery,https://en.wikipedia.org/wiki/Margaret_Avery,"Color Purple, The",https://en.wikipedia.org/wiki/The_Color_Purple_(film),1985,1985
Dan Aykroyd,https://en.wikipedia.org/wiki/Dan_Aykroyd,Driving Miss Daisy,https://en.wikipedia.org/wiki/Driving_Miss_Daisy,1989,1989
