names_movie,names_url
The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/?ref_=ttls_li_tt
The Boy in the Striped Pajamas,https://www.imdb.com/title/tt0914798/?ref_=ttls_li_tt
The Secret Life of Bees,https://www.imdb.com/title/tt0416212/?ref_=ttls_li_tt
The Express,https://www.imdb.com/title/tt0469903/?ref_=ttls_li_tt
The Duchess,https://www.imdb.com/title/tt0864761/?ref_=ttls_li_tt
The Women,https://www.imdb.com/title/tt0430770/?ref_=ttls_li_tt
Mamma Mia!,https://www.imdb.com/title/tt0795421/?ref_=ttls_li_tt
Nim's Island,https://www.imdb.com/title/tt0410377/?ref_=ttls_li_tt
Miss Pettigrew Lives for a Day,https://www.imdb.com/title/tt0970468/?ref_=ttls_li_tt
21,https://www.imdb.com/title/tt0478087/?ref_=ttls_li_tt
The Spiderwick Chronicles,https://www.imdb.com/title/tt0416236/?ref_=ttls_li_tt
Towelhead,https://www.imdb.com/title/tt0787523/?ref_=ttls_li_tt
P.S. I Love You,https://www.imdb.com/title/tt0431308/?ref_=ttls_li_tt
Love's Unfolding Dream,https://www.imdb.com/title/tt0960143/?ref_=ttls_li_tt
I Am Legend,https://www.imdb.com/title/tt0480249/?ref_=ttls_li_tt
The Great Debaters,https://www.imdb.com/title/tt0427309/?ref_=ttls_li_tt
Charlie Wilson's War,https://www.imdb.com/title/tt0472062/?ref_=ttls_li_tt
Gone Baby Gone,https://www.imdb.com/title/tt0452623/?ref_=ttls_li_tt
No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=ttls_li_tt
The Assassination of Jesse James by the Coward Robert Ford,https://www.imdb.com/title/tt0443680/?ref_=ttls_li_tt
Silk,https://www.imdb.com/title/tt0494834/?ref_=ttls_li_tt
Into the Wild,https://www.imdb.com/title/tt0758758/?ref_=ttls_li_tt
The Nanny Diaries,https://www.imdb.com/title/tt0489237/?ref_=ttls_li_tt
Saving Sarah Cain,https://www.imdb.com/title/tt0918557/?ref_=ttls_li_tt
Zodiac,https://www.imdb.com/title/tt0443706/?ref_=ttls_li_tt
Jane Eyre,https://www.imdb.com/title/tt0780362/?ref_=ttls_li_tt
Snow Angels,https://www.imdb.com/title/tt0453548/?ref_=ttls_li_tt
Freedom Writers,https://www.imdb.com/title/tt0463998/?ref_=ttls_li_tt
Children of Men,https://www.imdb.com/title/tt0206634/?ref_=ttls_li_tt
The Painted Veil,https://www.imdb.com/title/tt0446755/?ref_=ttls_li_tt
The Pursuit of Happyness,https://www.imdb.com/title/tt0454921/?ref_=ttls_li_tt
Flicka,https://www.imdb.com/title/tt0434215/?ref_=ttls_li_tt
Love's Abiding Joy,https://www.imdb.com/title/tt0785025/?ref_=ttls_li_tt
The Last King of Scotland,https://www.imdb.com/title/tt0455590/?ref_=ttls_li_tt
The Devil Wears Prada,https://www.imdb.com/title/tt0458352/?ref_=ttls_li_tt
Peaceful Warrior,https://www.imdb.com/title/tt0438315/?ref_=ttls_li_tt
Poseidon,https://www.imdb.com/title/tt0409182/?ref_=ttls_li_tt
