Year,Month,Monthly Rainfall (mm),Highest 60 Min Rainfall in Month (mm),Monthly Mean Temperature,Monthly Mean Wind Speed (km/h)
1980,1,257.9527318,,,
1980,2,154.3844988,,,
1980,3,154.3594988,,,
1980,4,192.0333333,,,
1980,5,259.4124937,,,
1980,6,162.7307895,,,
1980,7,181.3277348,,,
1980,8,284.0818542,,,
1980,9,146.3993481,,,
1980,10,273.3437719,,,
1980,11,333.6173684,,,
1980,12,236.955,,,
1981,1,57.85,,,12.52580645
1981,2,190.5959482,,,10.51785714
1981,3,91.47476191,,,8.806451613
1981,4,214.32,,,6.936666667
1981,5,232.0792105,,,5.74516129
1981,6,40.21769006,,,7.78
1981,7,257.4975146,,,10.19642857
1981,8,43.71131579,,,12.12580645
1981,9,194.06,,,11.91
1981,10,178.9047619,,,10.70322581
1981,11,102.2701504,,,11.28666667
1981,12,294.4556892,,,14.99354839
1982,1,84.40412698,,25.94193548,16.97096774
1982,2,98.81778196,,27.11785714,14.26428571
1982,3,222.0775689,,27.2,10.97096774
1982,4,245.2345739,,26.99666667,8.91
1982,5,165.4230952,,27.96774194,9.241935484
1982,6,96.93357143,,28.45666667,11.51333333
1982,7,72.91380952,,28.19032258,12.52580645
1982,8,181.2135414,,27.67096774,11.17741935
1982,9,61.32631579,,27.86666667,11.30666667
1982,10,167.7246491,,27.42903226,10.23870968
1982,11,268.0404762,,27.34333333,8.683333333
1982,12,383.6059315,,26.23225806,12.32903226
1983,1,173.8790643,,26.4516129,13.12419355
1983,2,21.11904762,,28.06071429,14.84107143
1983,3,45.82165414,,28.89032258,12.48387097
1983,4,72.71904762,,29.37666667,10.02166667
1983,5,72.71904762,,28.26451613,7.003225806
1983,6,124.075,,28.28666667,8.765
1983,7,188.2153007,,27.60645161,10.01935484
1983,8,183.8240476,,28.09032258,11.68548387
1983,9,209.6238095,,27.23,7.941666667
1983,10,137.3385714,,27.62580645,7.906451613
1983,11,196.0142857,,26.63666667,6.893333333
1983,12,253.6380952,,25.40967742,9.266129032
1984,1,335.1611654,,25.50967742,9.619354839
1984,2,345.255401,,25.82413793,8.493103448
1984,3,395.9345238,,26.52580645,6.561290323
1984,4,223.5283333,,27.36333333,4.846666667
1984,5,270.4983333,,27.28709677,5.738709677
