"","Station","Year","Lat","Long","Rain"
"1","Admiralty",2009,1.4439,103.7854,1736.6
"2","Admiralty",2010,1.4439,103.7854,2980.8
"3","Admiralty",2011,1.4439,103.7854,2871.8
"4","Admiralty",2012,1.4439,103.7854,2916.8
"5","Admiralty",2013,1.4439,103.7854,2559.8
"6","Admiralty",2014,1.4439,103.7854,1809.3
"7","Admiralty",2015,1.4439,103.7854,2046.8
"8","Admiralty",2016,1.4439,103.7854,1968
"9","Admiralty",2017,1.4439,103.7854,1977.8
"10","Admiralty",2018,1.4439,103.7854,2211.7
"11","Admiralty",2019,1.4439,103.7854,1969.4
"12","Admiralty",2020,1.4439,103.7854,135.6
"13","Admiralty West",2009,1.4582,103.7953,2010.8
"14","Admiralty West",2010,1.4582,103.7953,3235.4
"15","Admiralty West",2011,1.4582,103.7953,2948.2
"16","Admiralty West",2012,1.4582,103.7953,3280.2
"17","Admiralty West",2013,1.4582,103.7953,2644
"18","Admiralty West",2014,1.4582,103.7953,2648
"19","Admiralty West",2015,1.4582,103.7953,2101.6
"20","Admiralty West",2016,1.4582,103.7953,1435.4
"21","Admiralty West",2018,1.4582,103.7953,1754.2
"22","Admiralty West",2019,1.4582,103.7953,2094.8
"23","Admiralty West",2020,1.4582,103.7953,16.8
"24","Ang Mo Kio",2009,1.3764,103.8492,830.6
"25","Ang Mo Kio",2010,1.3764,103.8492,2849.2
"26","Ang Mo Kio",2011,1.3764,103.8492,3050.4
"27","Ang Mo Kio",2012,1.3764,103.8492,2579.6
"28","Ang Mo Kio",2013,1.3764,103.8492,3240
"29","Ang Mo Kio",2014,1.3764,103.8492,1961.4
"30","Ang Mo Kio",2015,1.3764,103.8492,2018.4
"31","Ang Mo Kio",2016,1.3764,103.8492,2193.4
"32","Ang Mo Kio",2017,1.3764,103.8492,2573
"33","Ang Mo Kio",2018,1.3764,103.8492,2734.6
"34","Ang Mo Kio",2019,1.3764,103.8492,1656.2
"35","Ang Mo Kio",2020,1.3764,103.8492,151.5
"36","Botanic Garden",2010,1.3087,103.818,686
"37","Botanic Garden",2011,1.3087,103.818,2940
"38","Botanic Garden",2012,1.3087,103.818,2497.6
"39","Botanic Garden",2013,1.3087,103.818,2849
"40","Botanic Garden",2014,1.3087,103.818,2244.4
"41","Botanic Garden",2015,1.3087,103.818,1809.4
"42","Botanic Garden",2016,1.3087,103.818,2592.5
"43","Botanic Garden",2017,1.3087,103.818,2824.8
