"","Station","Year","Lat","Long","Tempreture"
"1","Admiralty",2009,1.4439,103.7854,27.7401179941003
"2","Admiralty",2010,1.4439,103.7854,27.7412256267409
"3","Admiralty",2011,1.4439,103.7854,27.2783561643836
"4","Admiralty",2012,1.4439,103.7854,27.3743169398907
"5","Admiralty",2013,1.4439,103.7854,27.4791780821918
"6","Admiralty",2014,1.4439,103.7854,27.5232558139535
"7","Admiralty",2015,1.4439,103.7854,27.8958448753463
"8","Admiralty",2016,1.4439,103.7854,28.0994475138122
"9","Admiralty",2017,1.4439,103.7854,27.6241635687732
"10","Admiralty",2018,1.4439,103.7854,27.5806094182825
"11","Admiralty",2019,1.4439,103.7854,28.0572602739726
"12","Admiralty",2020,1.4439,103.7854,27.3
"13","Ang Mo Kio",2009,1.3764,103.8492,27.3990909090909
"14","Ang Mo Kio",2010,1.3764,103.8492,27.7202777777778
"15","Ang Mo Kio",2011,1.3764,103.8492,27.3082191780822
"16","Ang Mo Kio",2012,1.3764,103.8492,27.5071038251366
"17","Ang Mo Kio",2013,1.3764,103.8492,27.5871232876712
"18","Ang Mo Kio",2014,1.3764,103.8492,27.7710743801653
"19","Ang Mo Kio",2015,1.3764,103.8492,28.0075
"20","Ang Mo Kio",2016,1.3764,103.8492,28.2770491803279
"21","Ang Mo Kio",2017,1.3764,103.8492,27.7701369863014
"22","Ang Mo Kio",2018,1.3764,103.8492,27.6402777777778
"23","Ang Mo Kio",2019,1.3764,103.8492,28.2400568181818
"24","Ang Mo Kio",2020,1.3764,103.8492,27.3709677419355
"25","Changi",1982,1.3678,103.9826,27.3665753424658
"26","Changi",1983,1.3678,103.9826,27.6550684931507
"27","Changi",1984,1.3678,103.9826,26.7647540983607
"28","Changi",1985,1.3678,103.9826,27.1142465753425
"29","Changi",1986,1.3678,103.9826,27.1065753424658
"30","Changi",1987,1.3678,103.9826,27.3742465753425
"31","Changi",1988,1.3678,103.9826,27.2284153005464
"32","Changi",1989,1.3678,103.9826,26.9265753424658
"33","Changi",1990,1.3678,103.9826,27.5931506849315
"34","Changi",1991,1.3678,103.9826,27.4443835616438
"35","Changi",1992,1.3678,103.9826,27.3584699453552
"36","Changi",1993,1.3678,103.9826,27.4216438356164
"37","Changi",1994,1.3678,103.9826,27.5972602739726
"38","Changi",1995,1.3678,103.9826,27.5838356164384
"39","Changi",1996,1.3678,103.9826,27.5016393442623
"40","Changi",1997,1.3678,103.9826,28.2476712328767
"41","Changi",1998,1.3678,103.9826,28.3054794520548
"42","Changi",1999,1.3678,103.9826,27.492602739726
"43","Changi",2000,1.3678,103.9826,27.4830601092896
"44","Changi",2001,1.3678,103.9826,27.6156164383562
"45","Changi",2002,1.3678,103.9826,28.0882191780822
"46","Changi",2003,1.3678,103.9826,27.7657534246575
"47","Changi",2004,1.3678,103.9826,27.853825136612
"48","Changi",2005,1.3678,103.9826,28.007397260274
"49","Changi",2006,1.3678,103.9826,27.7430136986301
"50","Changi",2007,1.3678,103.9826,27.5386301369863
"51","Changi",2008,1.3678,103.9826,27.4748633879781
"52","Changi",2009,1.3678,103.9826,27.9276712328767
"53","Changi",2010,1.3678,103.9826,28.0854794520548
"54","Changi",2011,1.3678,103.9826,27.5690410958904
"55","Changi",2012,1.3678,103.9826,27.5426229508197
"56","Changi",2013,1.3678,103.9826,27.6547945205479
"57","Changi",2014,1.3678,103.9826,27.9183561643836
"58","Changi",2015,1.3678,103.9826,28.2413698630137
"59","Changi",2016,1.3678,103.9826,28.4292349726776
"60","Changi",2017,1.3678,103.9826,27.6953424657534
"61","Changi",2018,1.3678,103.9826,27.8843835616438
"62","Changi",2019,1.3678,103.9826,28.4430136986301
"63","Changi",2020,1.3678,103.9826,27.7322580645161
"64","Clementi",2010,1.3337,103.7768,27.8387596899225
"65","Clementi",2011,1.3337,103.7768,27.2008219178082
"66","Clementi",2012,1.3337,103.7768,27.2713114754098
"67","Clementi",2013,1.3337,103.7768,27.3641095890411
"68","Clementi",2014,1.3337,103.7768,27.478904109589
"69","Clementi",2015,1.3337,103.7768,27.7019390581717
"70","Clementi",2016,1.3337,103.7768,28.0257062146893
"71","Clementi",2017,1.3337,103.7768,27.705905511811
"72","Clementi",2018,1.3337,103.7768,27.6523391812865
"73","Clementi",2019,1.3337,103.7768,28.0704109589041
"74","Clementi",2020,1.3337,103.7768,27.4451612903226
"75","East Coast Parkway",2009,1.3134,103.9619,28.0623762376238
"76","East Coast Parkway",2010,1.3134,103.9619,28.114364640884
"77","East Coast Parkway",2011,1.3134,103.9619,27.6252054794521
"78","East Coast Parkway",2012,1.3134,103.9619,27.6819672131148
"79","East Coast Parkway",2013,1.3134,103.9619,27.7865753424658
"80","East Coast Parkway",2014,1.3134,103.9619,27.9188405797101
"81","East Coast Parkway",2015,1.3134,103.9619,28.2637119113573
"82","East Coast Parkway",2016,1.3134,103.9619,28.6445355191257
"83","East Coast Parkway",2017,1.3134,103.9619,28.1590659340659
