"","Station","Year","Lat","Long","Wind"
"1","Admiralty",2009,1.4439,103.7854,7.53052325581395
"2","Admiralty",2010,1.4439,103.7854,7.66712328767123
"3","Admiralty",2011,1.4439,103.7854,7.80219178082192
"4","Admiralty",2012,1.4439,103.7854,7.27950819672131
"5","Admiralty",2013,1.4439,103.7854,7.72493150684932
"6","Admiralty",2014,1.4439,103.7854,8.19139072847682
"7","Admiralty",2015,1.4439,103.7854,8.4328729281768
"8","Admiralty",2016,1.4439,103.7854,8.3448087431694
"9","Admiralty",2017,1.4439,103.7854,7.61016949152542
"10","Admiralty",2018,1.4439,103.7854,8.08864265927978
"11","Admiralty",2019,1.4439,103.7854,10.8898630136986
"12","Admiralty",2020,1.4439,103.7854,19.358064516129
"13","Ang Mo Kio",2009,1.3764,103.8492,5.55689655172414
"14","Ang Mo Kio",2010,1.3764,103.8492,5.4271978021978
"15","Ang Mo Kio",2011,1.3764,103.8492,5.90876712328767
"16","Ang Mo Kio",2012,1.3764,103.8492,5.55792349726776
"17","Ang Mo Kio",2013,1.3764,103.8492,5.59561643835616
"18","Ang Mo Kio",2014,1.3764,103.8492,5.99972527472527
"19","Ang Mo Kio",2015,1.3764,103.8492,6.27044198895028
"20","Ang Mo Kio",2016,1.3764,103.8492,5.81693989071038
"21","Ang Mo Kio",2017,1.3764,103.8492,5.70246575342466
"22","Ang Mo Kio",2018,1.3764,103.8492,5.78694444444444
"23","Ang Mo Kio",2019,1.3764,103.8492,10.6379603399433
"24","Ang Mo Kio",2020,1.3764,103.8492,17.6032258064516
"25","Changi",1983,1.3678,103.9826,8.26493150684932
"26","Changi",1984,1.3678,103.9826,6.71666666666667
"27","Changi",1985,1.3678,103.9826,6.79369863013699
"28","Changi",1986,1.3678,103.9826,7.9772602739726
"29","Changi",1987,1.3678,103.9826,7.76986301369863
"30","Changi",1988,1.3678,103.9826,7.34153005464481
"31","Changi",1989,1.3678,103.9826,7.70904109589041
"32","Changi",1990,1.3678,103.9826,7.31780821917808
"33","Changi",1991,1.3678,103.9826,7.92821917808219
"34","Changi",1992,1.3678,103.9826,7.26967213114754
"35","Changi",1993,1.3678,103.9826,6.92547945205479
"36","Changi",1994,1.3678,103.9826,7.89123287671233
"37","Changi",1995,1.3678,103.9826,6.44931506849315
