Full_Date,Average of Daily Rainfall Total (mm),Average of Highest 30 Min Rainfall (mm),Average of Highest 60 Min Rainfall (mm),Average of Highest 120 Min Rainfall (mm),Average of Mean_Temperature,Average of Maximum_Temperature,Average of Minimun_Temperature,Average of Mean Wind Speed (km/h),Average of Max Wind Speed (km/h)
1/1/1980,0,,,,,,,,
1/2/1980,1.545,,,,,,,,
1/3/1980,0.005,,,,,,,,
1/4/1980,0.01,,,,,,,,
1/5/1980,16.045,,,,,,,,
1/6/1980,33.73684211,,,,,,,,
1/7/1980,3.468421053,,,,,,,,
1/8/1980,0.042105263,,,,,,,,
1/9/1980,0,,,,,,,,
1/10/1980,0.005,,,,,,,,
1/11/1980,0,,,,,,,,
1/12/1980,6.728571429,,,,,,,,
1/13/1980,0.423809524,,,,,,,,
1/14/1980,0.328571429,,,,,,,,
1/15/1980,0,,,,,,,,
1/16/1980,0.004761905,,,,,,,,
1/17/1980,1.235,,,,,,,,
1/18/1980,2.375,,,,,,,,
1/19/1980,74.215,,,,,,,,
1/20/1980,83.07894737,,,,,,,,
1/21/1980,11.63333333,,,,,,,,
1/22/1980,1.547368421,,,,,,,,
1/23/1980,0,,,,,,,,
1/24/1980,0.01,,,,,,,,
1/25/1980,8.565,,,,,,,,
1/26/1980,12.73,,,,,,,,
1/27/1980,0,,,,,,,,
1/28/1980,0,,,,,,,,
1/29/1980,0.02,,,,,,,,
1/30/1980,0,,,,,,,,
1/31/1980,0.2,,,,,,,,
2/1/1980,28,,,,,,,,
2/2/1980,0.005,,,,,,,,
2/3/1980,8.17,,,,,,,,
2/4/1980,0.271428571,,,,,,,,
2/5/1980,23.51904762,,,,,,,,
2/6/1980,0.180952381,,,,,,,,
2/7/1980,0.00952381,,,,,,,,
2/8/1980,0,,,,,,,,
2/9/1980,0.019047619,,,,,,,,
2/10/1980,0.00952381,,,,,,,,
2/11/1980,0.628571429,,,,,,,,
2/12/1980,0.00952381,,,,,,,,
2/13/1980,0,,,,,,,,
2/14/1980,0,,,,,,,,
2/15/1980,0.00952381,,,,,,,,
2/16/1980,0.014285714,,,,,,,,
2/17/1980,0,,,,,,,,
2/18/1980,1.876190476,,,,,,,,
2/19/1980,0.742857143,,,,,,,,
2/20/1980,2.576190476,,,,,,,,
2/21/1980,6.79047619,,,,,,,,
2/22/1980,12.72857143,,,,,,,,
2/23/1980,0.315,,,,,,,,
2/24/1980,6.32,,,,,,,,
2/25/1980,26.68,,,,,,,,
2/26/1980,5.095,,,,,,,,
2/27/1980,30.17368421,,,,,,,,
2/28/1980,0.221052632,,,,,,,,
2/29/1980,0.019047619,,,,,,,,
3/1/1980,0,,,,,,,,
3/2/1980,1.20952381,,,,,,,,
3/3/1980,2.957142857,,,,,,,,
3/4/1980,2.114285714,,,,,,,,
3/5/1980,0,,,,,,,,
3/6/1980,7.615,,,,,,,,
3/7/1980,15.94,,,,,,,,
3/8/1980,0.065,,,,,,,,
3/9/1980,3.575,,,,,,,,
3/10/1980,0.33,,,,,,,,
3/11/1980,19.295,,,,,,,,
3/12/1980,0,,,,,,,,
3/13/1980,3.165,,,,,,,,
3/14/1980,6.29,,,,,,,,
3/15/1980,0.055,,,,,,,,
3/16/1980,7.615,,,,,,,,
3/17/1980,1.084210526,,,,,,,,
3/18/1980,14.20526316,,,,,,,,
3/19/1980,10.20526316,,,,,,,,
3/20/1980,8.445,,,,,,,,
3/21/1980,14.57,,,,,,,,
3/22/1980,2.185714286,,,,,,,,
3/23/1980,0.047619048,,,,,,,,
3/24/1980,11.6952381,,,,,,,,
3/25/1980,1.104761905,,,,,,,,
3/26/1980,0.038095238,,,,,,,,
3/27/1980,0.023809524,,,,,,,,
3/28/1980,0.00952381,,,,,,,,
3/29/1980,6.347619048,,,,,,,,
3/30/1980,1.6,,,,,,,,
3/31/1980,12.57142857,,,,,,,,
4/1/1980,0.080952381,,,,,,,,
4/2/1980,17.03809524,,,,,,,,
4/3/1980,5.195238095,,,,,,,,
4/4/1980,0.714285714,,,,,,,,
4/5/1980,0.271428571,,,,,,,,
4/6/1980,1.747619048,,,,,,,,
4/7/1980,0,,,,,,,,
4/8/1980,0,,,,,,,,
4/9/1980,2.228571429,,,,,,,,
4/10/1980,16.03333333,,,,,,,,
4/11/1980,5.19047619,,,,,,,,
4/12/1980,6.49047619,,,,,,,,
4/13/1980,6.066666667,,,,,,,,
4/14/1980,3.99047619,,,,,,,,
4/15/1980,24.28571429,,,,,,,,
4/16/1980,8.542857143,,,,,,,,
4/17/1980,33.42857143,,,,,,,,
4/18/1980,1.166666667,,,,,,,,
4/19/1980,1.242857143,,,,,,,,
4/20/1980,8.214285714,,,,,,,,
4/21/1980,9.138095238,,,,,,,,
4/22/1980,0.019047619,,,,,,,,
4/23/1980,2.042857143,,,,,,,,
4/24/1980,0.819047619,,,,,,,,
4/25/1980,10.78095238,,,,,,,,
4/26/1980,16.85238095,,,,,,,,
4/27/1980,1.704761905,,,,,,,,
4/28/1980,6.785714286,,,,,,,,
4/29/1980,0.185714286,,,,,,,,
4/30/1980,1.776190476,,,,,,,,
5/1/1980,3.880952381,,,,,,,,
5/2/1980,8.1,,,,,,,,
5/3/1980,33.87619048,,,,,,,,
5/4/1980,53.50526316,,,,,,,,
5/5/1980,21.24736842,,,,,,,,
5/6/1980,29.31,,,,,,,,
5/7/1980,5.704761905,,,,,,,,
5/8/1980,0.004761905,,,,,,,,
5/9/1980,30.67619048,,,,,,,,
5/10/1980,0.828571429,,,,,,,,
5/11/1980,0.976190476,,,,,,,,
5/12/1980,0.019047619,,,,,,,,
5/13/1980,0.123809524,,,,,,,,
5/14/1980,4.014285714,,,,,,,,
5/15/1980,4.457142857,,,,,,,,
5/16/1980,4.619047619,,,,,,,,
5/17/1980,0,,,,,,,,
5/18/1980,0.00952381,,,,,,,,
5/19/1980,2.333333333,,,,,,,,
5/20/1980,0,,,,,,,,
5/21/1980,3.67,,,,,,,,
5/22/1980,0,,,,,,,,
5/23/1980,0,,,,,,,,
5/24/1980,0.494736842,,,,,,,,
5/25/1980,3.815789474,,,,,,,,
5/26/1980,5.62,,,,,,,,
5/27/1980,3.97,,,,,,,,
5/28/1980,34.975,,,,,,,,
5/29/1980,0,,,,,,,,
5/30/1980,0.77,,,,,,,,
5/31/1980,2.410526316,,,,,,,,
6/1/1980,6.094736842,,,,,,,,
6/2/1980,10.68421053,,,,,,,,
6/3/1980,9.978947368,,,,,,,,
6/4/1980,0.352631579,,,,,,,,
6/5/1980,27.305,,,,,,,,
6/6/1980,14.765,,,,,,,,
6/7/1980,24.36,,,,,,,,
6/8/1980,0.675,,,,,,,,
6/9/1980,0.005263158,,,,,,,,
6/10/1980,0.005263158,,,,,,,,
6/11/1980,0.168421053,,,,,,,,
6/12/1980,1.6,,,,,,,,
6/13/1980,4.105263158,,,,,,,,
6/14/1980,3.295,,,,,,,,
6/15/1980,2.615,,,,,,,,
6/16/1980,0.084210526,,,,,,,,
6/17/1980,3.221052632,,,,,,,,
6/18/1980,0,,,,,,,,
6/19/1980,0,,,,,,,,
6/20/1980,0,,,,,,,,
6/21/1980,0,,,,,,,,
6/22/1980,2.677777778,,,,,,,,
6/23/1980,3.094444444,,,,,,,,
6/24/1980,39.01052632,,,,,,,,
6/25/1980,6.552631579,,,,,,,,
6/26/1980,0.005263158,,,,,,,,
6/27/1980,1.347368421,,,,,,,,
6/28/1980,0,,,,,,,,
6/29/1980,0.605555556,,,,,,,,
6/30/1980,0.122222222,,,,,,,,
7/1/1980,4.621052632,,,,,,,,
